"State/Union Territory","Cashewnut 2009-10 Area (in '000 Hectare)","Cashewnut 2010-11 Area (in '000 Hectare)","Cashewnut 2009-10 Production (in '000 Tonne)","Cashewnut 2010-11 Production (in '000 Tonne)","Arecanut 2009-10 Area (in '000 Hectare)","Arecanut 2010-11 Area (in '000 Hectare)","Arecanut 2009-10 Production (in '000 Tonne)","Arecanut 2010-11 Production (in '000 Tonne)","Cocoa 2009-10 Area (in '000 Hectare)","Cocoa 2010-11 Area (in '000 Hectare)","Cocoa 2009-10 Production (in '000 Tonne)","Cocoa 2010-11 Production (in '000 Tonne)","Coconut 2009-10 Area (in '000 Hectare)","Coconut 2010-11 Area (in '000 Hectare)","Coconut 2009-10 Production (in '000 Tonne)","Coconut 2010-11 Production (in '000 Tonne)","Total 2009-10 Area (in '000 Hectare)","Total 2010-11 Area (in '000 Hectare)","Total 2009-10 Production (in '000 Tonne)","Total 2010-11 Production (in '000 Tonne)"
" Andhra Pradesh","183.0","183.0","99.0","107.0","0.2","0.3","0.2","0.2","17.0","17.5","2.7","3.0","104.0","104.0","667.0","667.0","304.2","304.8","768.9","777.2"
" Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Assam","NA","NA","NA","NA","70.0","70.0","62.7","62.7","NA","NA","NA","NA","18.8","18.8","NA","101.0","88.8","88.8","62.7","163.7"
" Bihar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Chhattisgarh","33.0","33.0","17.0","19.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.7","NA","6.3","33.0","33.7","17.0","25.3"
" Goa","55.0","56.0","26.0","24.0","1.9","1.9","2.8","2.8","NA","NA","NA","NA","25.6","25.6","NA","88.0","82.5","83.5","28.8","114.8"
" Gujarat","NA","7.1","NA","21.3","NA","NA","NA","NA","NA","NA","NA","NA","16.0","16.0","NA","108.0","16.0","23.1","NA","129.3"
" Haryana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Himachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Jammu & Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Jharkhand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Karnataka","118.0","119.0","53.0","57.0","184.5","184.5","224.0","224.0","9.0","9.5","3.0","3.4","419.0","419.0","NA","1497.0","730.5","732.0","280.0","1781.4"
" Kerala","72.0","78.0","66.0","71.0","97.2","97.2","112.1","112.1","11.0","11.6","6.3","7.0","788.0","788.0","NA","3992.0","968.2","974.8","184.4","4182.1"
" Madhya Pradesh ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Maharashtra","175.0","181.0","198.0","208.0","2.2","2.2","3.6","3.6","NA","NA","NA","NA","21.0","21.0","NA","120.0","198.2","204.2","201.6","331.6"
" Manipur ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.0","NA","0.0"
" Meghalaya ","NA","NA","NA","NA","12.4","12.4","17.1","17.1","NA","NA","NA","NA","NA","NA","NA","NA","12.4","12.4","17.1","17.1"
" Mizoram","NA","NA","NA","NA","6.6","6.6","8.2","8.2","NA","NA","NA","NA","NA","NA","NA","NA","6.6","6.6","8.2","8.2"
